shipment_id,distance_km,hours_to_deadline,origin_rain_mm,origin_storm,congestion_index,carrier_reliability,delay_prob
SHP-1415,1602.65,9.4,4.9,0,0.22,0.87,0.33
SHP-1416,1138.09,50.1,11.1,0,0.37,0.73,0.343
SHP-1417,1375.13,50.3,7.5,0,1.0,0.74,0.488
SHP-1418,626.09,66.4,4.3,0,0.83,0.86,0.305
SHP-1419,729.24,26.0,39.2,1,0.35,0.55,0.526
SHP-1420,1457.89,33.7,3.4,0,0.04,0.85,0.27
SHP-1421,94.04,26.0,5.5,0,0.8,0.96,0.204
SHP-1422,1493.95,38.1,27.6,1,0.56,0.97,0.552
SHP-1423,502.12,30.4,9.2,0,0.64,0.71,0.298
SHP-1424,106.92,45.0,9.9,0,0.59,0.69,0.236
SHP-1425,1424.23,16.4,37.6,0,0.58,0.89,0.502
SHP-1426,1096.93,27.6,9.9,0,0.11,0.83,0.26
SHP-1427,1004.49,69.6,15.7,0,0.39,0.69,0.353
SHP-1428,272.75,26.6,22.9,0,0.81,0.85,0.325
SHP-1429,630.02,45.0,4.2,0,0.13,0.56,0.225
SHP-1430,645.49,14.8,34.7,1,0.42,0.57,0.506
SHP-1431,798.23,15.0,31.8,0,0.55,0.74,0.409
SHP-1432,323.58,24.0,22.6,0,0.87,0.97,0.319
SHP-1433,994.99,15.7,19.2,0,0.56,0.82,0.374
SHP-1434,847.81,36.4,35.5,1,0.49,0.54,0.559
SHP-1435,110.18,55.3,14.6,0,0.27,0.76,0.177
SHP-1436,378.01,34.0,37.1,1,0.55,0.56,0.503
SHP-1437,272.7,56.3,41.2,1,0.54,0.87,0.44
SHP-1438,1532.01,32.9,10.9,0,0.43,0.86,0.387
SHP-1439,1324.66,19.3,43.7,0,0.45,0.67,0.529
SHP-1440,1642.62,32.7,49.7,0,0.21,0.86,0.515
SHP-1441,1393.81,62.3,30.5,1,0.17,0.57,0.551
SHP-1442,452.91,16.5,3.0,0,0.35,0.64,0.222
SHP-1443,1100.6,24.7,35.2,1,0.57,0.97,0.526
SHP-1444,1053.11,65.0,40.8,0,0.96,0.88,0.537
SHP-1445,1841.6,71.5,43.4,0,0.7,0.57,0.676
SHP-1446,335.17,24.5,12.4,0,0.84,0.69,0.33
SHP-1447,327.23,46.3,31.4,1,0.45,0.81,0.403
SHP-1448,1766.24,8.5,25.8,1,0.69,0.93,0.62
SHP-1449,936.66,36.2,29.1,0,0.73,0.72,0.459
SHP-1450,1345.08,27.1,3.2,0,0.53,0.61,0.399
SHP-1451,887.8,16.8,13.4,0,0.83,0.67,0.419
SHP-1452,1176.97,41.6,24.3,1,0.89,0.87,0.578
SHP-1453,139.59,45.8,41.8,0,0.12,0.92,0.228
SHP-1454,910.51,2.0,47.9,0,1.0,0.95,0.538
SHP-1455,1770.19,23.1,43.7,1,0.09,0.68,0.622
SHP-1456,210.72,48.5,32.4,0,0.4,0.65,0.311
SHP-1457,1413.91,18.4,32.8,0,0.0,0.73,0.397
SHP-1458,308.76,17.8,34.0,0,0.01,0.67,0.25
SHP-1459,285.16,62.2,34.7,1,0.07,0.69,0.358
SHP-1460,1474.99,9.2,15.7,0,0.88,0.57,0.546
SHP-1461,1558.25,54.7,6.7,0,0.99,0.57,0.545
SHP-1462,1084.49,2.6,32.5,1,0.35,0.6,0.543
SHP-1463,1509.12,66.4,30.8,1,0.86,0.54,0.714
SHP-1464,245.91,54.7,29.5,1,0.35,0.71,0.383
SHP-1465,1592.6,19.3,32.2,0,0.55,0.79,0.52
SHP-1466,1234.81,56.5,34.5,1,0.21,0.8,0.505
SHP-1467,417.86,29.4,32.3,0,0.49,0.56,0.378
SHP-1468,1024.19,43.6,26.4,0,0.99,0.96,0.465
SHP-1469,307.37,62.3,28.4,1,0.55,0.58,0.454
SHP-1470,968.48,71.1,3.6,0,0.59,0.51,0.376
SHP-1471,470.7,66.6,47.4,1,0.51,0.81,0.5
SHP-1472,1027.05,31.1,35.1,0,0.64,0.76,0.47
SHP-1473,347.73,7.9,4.0,0,0.92,0.98,0.256
SHP-1474,352.99,24.9,29.3,0,0.31,0.71,0.29
SHP-1475,1909.18,18.7,12.2,0,0.92,0.56,0.607
SHP-1476,1243.98,5.9,33.3,0,0.12,0.85,0.374
SHP-1477,1417.92,13.5,47.7,1,0.17,0.56,0.625
SHP-1478,1573.19,20.8,44.3,0,0.34,0.71,0.539
SHP-1479,1071.52,20.4,48.8,0,0.5,0.75,0.506
SHP-1480,158.11,62.2,8.3,0,0.16,0.88,0.113
SHP-1481,1793.82,49.2,5.8,0,0.74,0.5,0.54
SHP-1482,1724.44,2.9,2.3,0,0.36,0.95,0.35
SHP-1483,398.97,69.2,1.8,0,0.8,0.85,0.257
SHP-1484,1328.62,17.7,12.4,0,0.92,0.66,0.501
SHP-1485,1660.69,42.0,6.0,0,0.67,0.53,0.501
SHP-1486,485.21,38.1,2.3,0,0.4,0.93,0.176
SHP-1487,1738.76,56.1,15.5,0,0.09,0.72,0.397
SHP-1488,769.39,22.4,39.2,0,0.46,0.79,0.406
SHP-1489,1012.05,56.1,9.8,0,0.9,0.87,0.397
SHP-1490,528.0,2.4,20.5,0,0.54,0.81,0.307
SHP-1491,1402.25,2.7,16.8,0,0.76,0.68,0.494
SHP-1492,1489.26,23.5,10.3,0,0.98,0.71,0.519
SHP-1493,1924.31,70.1,7.1,0,0.28,0.52,0.469
SHP-1494,501.37,61.2,20.7,1,0.46,0.87,0.376
SHP-1495,1182.5,37.4,31.9,1,0.07,0.78,0.463
SHP-1496,898.22,69.5,11.8,0,0.26,0.65,0.304
SHP-1497,1611.59,51.1,36.8,1,0.45,0.61,0.657
SHP-1498,1889.93,11.5,38.5,0,0.16,0.58,0.553
SHP-1499,958.81,30.5,26.8,0,0.45,0.73,0.395
SHP-1500,1712.34,8.3,40.4,1,0.83,0.84,0.716
SHP-1501,128.64,60.5,16.4,0,0.09,0.62,0.179
SHP-1502,743.7,37.9,33.9,1,0.82,0.59,0.593
SHP-1503,1906.59,61.8,27.8,0,0.09,0.55,0.505
SHP-1504,1597.93,10.5,3.1,0,0.78,0.61,0.486
SHP-1505,436.36,30.0,34.3,0,0.58,0.63,0.393
SHP-1506,1634.86,3.5,3.2,0,0.9,0.72,0.494
SHP-1507,301.14,65.4,41.5,1,0.12,0.96,0.343
SHP-1508,148.74,66.7,21.7,1,0.5,0.69,0.371
SHP-1509,881.99,26.8,45.4,1,0.28,0.93,0.484
SHP-1510,117.57,45.3,12.3,0,0.3,0.7,0.187
SHP-1511,1123.84,6.3,14.0,0,0.14,0.6,0.333
SHP-1512,1775.07,38.8,31.5,0,0.99,0.88,0.614
SHP-1513,750.27,40.1,24.2,1,0.39,0.59,0.469
SHP-1514,671.81,17.3,44.8,1,0.06,0.99,0.394
SHP-1515,1082.39,55.7,50.0,0,0.1,0.82,0.418
SHP-1516,569.73,59.1,45.9,0,0.76,0.96,0.429
SHP-1517,1172.6,70.8,19.4,0,0.94,0.99,0.443
SHP-1518,388.74,18.6,15.9,0,0.74,0.68,0.334
SHP-1519,1203.55,51.2,17.6,0,0.57,0.57,0.451
SHP-1520,1899.32,60.6,40.5,1,0.54,0.59,0.737
SHP-1521,124.03,5.9,30.1,0,0.53,0.5,0.345
SHP-1522,1839.9,16.1,6.5,0,0.72,0.95,0.456
SHP-1523,1696.35,24.7,1.1,0,0.59,0.95,0.387
SHP-1524,1560.01,61.3,43.0,0,0.37,0.96,0.488
SHP-1525,821.41,9.1,15.1,0,0.14,0.58,0.296
SHP-1526,1899.95,57.4,48.0,1,0.17,0.97,0.617
SHP-1527,1402.44,67.0,39.3,0,0.67,0.9,0.522
SHP-1528,787.85,53.4,14.7,0,0.18,0.5,0.313
SHP-1529,1418.92,42.1,42.5,0,0.18,0.66,0.487
SHP-1530,1627.17,44.8,32.0,0,0.94,0.57,0.646
SHP-1531,1503.42,18.7,49.1,0,0.64,0.97,0.556
SHP-1532,1652.24,48.9,36.5,1,0.45,0.63,0.658
SHP-1533,536.6,6.7,12.8,0,0.11,0.5,0.254
SHP-1534,802.58,53.3,48.5,1,0.49,0.69,0.574
SHP-1535,1114.75,9.1,24.0,0,0.16,0.54,0.387
SHP-1536,1699.24,22.6,15.9,0,0.95,0.54,0.6
SHP-1537,381.71,28.3,36.6,0,0.34,0.98,0.276
SHP-1538,1791.79,51.3,21.6,0,0.61,0.71,0.535
SHP-1539,154.43,25.2,48.7,1,0.7,0.85,0.488
SHP-1540,1473.45,20.6,14.1,0,0.24,0.52,0.421
SHP-1541,1164.95,60.8,7.7,0,0.36,0.71,0.336
SHP-1542,624.37,48.3,30.0,0,0.1,0.6,0.314
SHP-1543,1294.47,70.4,23.7,0,0.31,0.69,0.413
SHP-1544,1003.74,48.3,4.6,0,0.54,0.59,0.359
SHP-1545,1776.71,27.9,22.3,1,0.44,0.63,0.618
SHP-1546,1682.3,41.5,7.6,0,0.7,0.55,0.513
SHP-1547,1352.88,58.6,20.7,0,0.55,0.91,0.414
SHP-1548,1645.89,31.3,26.8,1,0.57,0.62,0.644
SHP-1549,632.76,29.6,42.7,0,0.5,0.94,0.378
SHP-1550,1610.88,49.4,31.0,0,0.95,0.72,0.612
SHP-1551,1900.67,13.7,10.6,0,0.19,0.52,0.462
SHP-1552,202.82,49.8,10.1,0,0.82,0.57,0.321
SHP-1553,1210.34,24.4,36.4,0,0.09,0.77,0.391
SHP-1554,1126.51,62.0,26.0,0,0.79,0.81,0.469
SHP-1555,1069.0,31.4,20.7,0,0.57,0.79,0.399
SHP-1556,1931.42,9.0,5.3,0,0.78,0.89,0.489
SHP-1557,1741.58,63.6,43.9,1,0.38,0.74,0.665
SHP-1558,1237.48,4.6,13.8,0,0.14,0.8,0.309
SHP-1559,1402.64,4.7,44.5,1,0.69,0.52,0.722
SHP-1560,976.68,20.8,18.6,0,0.34,0.89,0.311
SHP-1561,656.35,61.0,42.9,0,0.97,0.61,0.542
SHP-1562,635.94,54.1,38.7,1,0.27,0.7,0.464
SHP-1563,1308.83,15.2,10.6,0,0.82,0.86,0.431
SHP-1564,1531.01,62.7,41.1,0,0.07,0.85,0.438
SHP-1565,836.6,56.6,26.2,0,0.17,0.93,0.278
SHP-1566,441.42,6.0,1.7,0,0.05,0.68,0.147
SHP-1567,438.26,27.8,23.2,1,0.64,0.56,0.475
SHP-1568,109.6,28.1,29.7,0,0.96,0.73,0.381
SHP-1569,1125.1,26.1,41.9,1,0.75,0.84,0.618
SHP-1570,605.89,29.1,8.1,0,0.57,0.97,0.243
SHP-1571,1721.37,47.3,33.9,1,0.65,0.75,0.674
SHP-1572,1736.03,69.7,34.1,1,0.91,0.82,0.715
SHP-1573,1222.23,2.6,12.6,0,0.81,0.65,0.466
SHP-1574,1935.7,47.0,21.2,1,0.85,0.72,0.701
SHP-1575,475.51,23.2,26.0,1,0.58,0.5,0.491
SHP-1576,1998.89,69.7,42.0,1,0.3,0.55,0.718
SHP-1577,174.48,71.2,32.0,1,0.26,0.85,0.336
SHP-1578,1790.13,22.9,7.5,0,0.77,0.94,0.465
SHP-1579,1620.59,58.2,30.0,1,0.68,0.85,0.629
SHP-1580,1328.03,71.8,13.0,0,0.42,0.69,0.397
SHP-1581,118.87,51.6,28.6,0,0.34,0.85,0.23
SHP-1582,1388.32,46.7,23.8,1,0.51,0.91,0.523
SHP-1583,1689.25,63.4,9.1,0,0.1,0.56,0.398
SHP-1584,554.37,58.6,38.1,0,0.95,0.94,0.438
SHP-1585,1326.15,17.6,11.2,0,0.87,0.71,0.476
SHP-1586,1779.34,28.0,29.3,1,0.85,0.73,0.708
SHP-1587,1739.47,42.9,47.2,0,0.47,0.6,0.624
SHP-1588,283.64,49.6,26.5,1,0.05,0.92,0.275
SHP-1589,317.86,16.0,20.5,1,0.14,0.92,0.274
SHP-1590,401.7,7.7,16.6,0,0.99,0.65,0.395
SHP-1591,163.13,33.6,10.5,0,0.77,0.78,0.264
SHP-1592,358.95,57.0,39.0,0,0.61,0.81,0.37
SHP-1593,836.62,69.6,19.2,0,0.04,0.6,0.29
SHP-1594,777.55,3.0,16.1,0,0.83,0.59,0.429
SHP-1595,1369.66,45.9,12.4,0,0.69,0.67,0.459
SHP-1596,301.42,28.8,29.4,0,0.07,0.52,0.273
SHP-1597,1899.5,33.9,26.0,1,0.43,0.84,0.607
SHP-1598,310.89,71.7,24.5,0,0.16,0.94,0.189
SHP-1599,1633.42,3.3,11.2,0,0.98,0.6,0.566
SHP-1600,92.73,37.3,6.2,0,0.71,0.89,0.203
SHP-1601,781.63,46.8,38.6,0,0.59,0.52,0.486
SHP-1602,260.82,60.5,2.4,0,0.12,0.72,0.129
SHP-1603,291.01,19.7,35.1,0,0.7,0.81,0.362
SHP-1604,637.18,48.3,33.1,1,0.62,0.84,0.484
SHP-1605,866.71,64.9,25.6,0,0.28,0.88,0.312
SHP-1606,1020.59,44.6,38.9,0,0.36,0.7,0.441
SHP-1607,362.73,40.4,45.5,1,0.33,0.5,0.502
SHP-1608,1359.68,65.5,41.8,1,0.15,0.54,0.593
SHP-1609,1047.83,52.6,5.1,0,0.26,0.61,0.308
SHP-1610,1977.9,22.7,23.2,0,0.81,0.93,0.565
SHP-1611,1711.88,27.2,33.8,1,0.74,0.55,0.73
SHP-1612,1528.5,5.2,42.6,0,0.33,0.94,0.478
SHP-1613,1912.42,20.8,36.7,1,0.81,0.59,0.778
SHP-1614,831.52,69.4,13.6,0,0.39,0.92,0.273
SHP-1615,1609.8,47.4,39.8,0,0.13,0.86,0.455
SHP-1616,1964.06,61.1,5.2,0,0.91,0.74,0.549
SHP-1617,1159.44,32.7,30.6,1,0.61,0.92,0.534
SHP-1618,1765.9,52.9,44.6,1,0.92,0.56,0.815
SHP-1619,852.0,5.2,13.1,0,0.31,0.85,0.272
SHP-1620,1371.96,55.7,28.8,0,0.98,0.83,0.551
SHP-1621,709.69,38.6,35.0,0,0.43,0.86,0.36
SHP-1622,989.76,48.5,32.1,0,0.84,0.77,0.491
SHP-1623,1976.19,5.8,32.2,0,0.51,0.73,0.581
SHP-1624,1016.88,13.6,37.6,1,0.24,0.98,0.455
SHP-1625,148.18,17.6,32.2,1,0.82,0.54,0.507
SHP-1626,916.17,42.1,4.4,0,0.5,0.65,0.325
SHP-1627,1962.31,54.2,0.9,0,0.4,0.52,0.474
SHP-1628,1120.74,59.8,39.6,1,0.89,0.78,0.649
SHP-1629,1326.46,33.9,17.0,0,0.83,0.9,0.453
SHP-1630,1696.42,25.2,38.4,1,0.72,0.68,0.716
SHP-1631,932.44,8.8,32.9,0,0.34,0.91,0.357
SHP-1632,1930.65,22.4,26.1,0,0.05,0.58,0.488
SHP-1633,323.88,52.2,36.1,0,0.25,0.6,0.323
SHP-1634,285.45,61.7,10.8,0,0.82,0.59,0.332
SHP-1635,708.97,55.0,2.3,0,0.63,0.83,0.276
SHP-1636,290.28,64.4,22.9,0,0.96,0.5,0.427
SHP-1637,1485.62,40.7,21.6,1,0.92,0.88,0.617
SHP-1638,1824.85,50.4,8.7,0,0.82,0.55,0.563
SHP-1639,1332.17,44.4,16.1,0,0.88,0.71,0.498
SHP-1640,1237.54,50.5,12.4,0,0.4,0.67,0.381
SHP-1641,623.64,58.3,6.9,0,0.6,0.93,0.255
SHP-1642,1048.97,61.0,27.4,1,0.71,0.96,0.517
SHP-1643,1283.54,16.1,31.2,1,0.69,0.95,0.565
SHP-1644,308.71,51.7,48.8,0,0.5,0.84,0.374
SHP-1645,678.64,10.1,17.6,0,0.48,0.78,0.312
SHP-1646,1350.96,31.2,37.4,1,0.88,0.71,0.686
SHP-1647,74.9,9.5,19.0,0,0.05,0.53,0.191
SHP-1648,570.61,57.0,49.2,1,0.15,0.53,0.506
SHP-1649,1579.5,16.3,27.1,1,0.81,0.55,0.697
SHP-1650,1742.67,53.8,43.2,1,0.24,0.88,0.606
SHP-1651,1607.7,22.1,33.2,1,0.39,0.97,0.558
SHP-1652,1952.85,23.9,27.6,0,0.74,0.6,0.631
SHP-1653,1744.26,62.2,22.2,0,0.91,0.85,0.562
SHP-1654,1312.88,54.9,27.3,0,0.78,0.97,0.468
SHP-1655,623.65,14.4,34.1,0,0.96,0.86,0.45
SHP-1656,282.74,4.8,14.0,0,0.26,0.58,0.234
SHP-1657,1699.73,2.4,23.3,0,0.04,0.96,0.364
SHP-1658,1213.92,56.2,31.3,1,0.49,0.78,0.549
SHP-1659,748.27,56.9,15.9,0,0.22,0.59,0.302
SHP-1660,182.94,37.4,20.8,1,0.09,0.61,0.307
SHP-1661,466.04,25.2,18.0,0,0.22,0.87,0.212
SHP-1662,1084.47,71.8,41.2,0,0.11,0.67,0.415
SHP-1663,518.68,47.0,45.9,0,0.96,0.83,0.487
SHP-1664,675.83,66.1,47.2,1,0.26,0.85,0.472
SHP-1665,98.18,38.2,38.5,1,0.49,0.65,0.437
SHP-1666,1320.48,24.4,4.1,0,0.1,0.98,0.238
SHP-1667,1557.97,39.3,31.3,0,0.67,0.88,0.517
SHP-1668,1736.65,31.7,5.2,0,0.54,0.84,0.421
SHP-1669,1953.64,56.3,32.3,0,0.75,0.58,0.656
SHP-1670,945.49,25.2,4.4,0,0.05,0.89,0.191
SHP-1671,1138.26,42.2,11.4,0,0.26,0.69,0.33
SHP-1672,1278.92,32.3,0.8,0,0.67,0.76,0.377
SHP-1673,1300.77,45.3,37.8,0,0.7,0.54,0.578
SHP-1674,1859.69,9.4,39.3,1,0.61,0.64,0.73
SHP-1675,1857.05,28.7,41.1,0,0.47,0.76,0.585
SHP-1676,315.94,29.4,39.9,1,0.96,0.57,0.585
SHP-1677,1370.71,66.0,39.8,1,0.96,0.51,0.755
SHP-1678,1755.8,11.9,2.1,0,0.57,0.69,0.448
SHP-1679,1117.67,8.0,10.5,0,0.74,0.86,0.386
SHP-1680,462.89,65.4,42.6,0,0.16,0.61,0.35
SHP-1681,1677.76,15.6,9.1,0,0.8,0.92,0.464
SHP-1682,1710.21,67.3,49.7,1,0.64,0.54,0.775
SHP-1683,1359.79,19.5,9.9,0,0.58,0.97,0.366
SHP-1684,746.42,49.0,11.7,0,0.29,0.53,0.311
SHP-1685,427.32,36.0,16.4,0,0.66,0.84,0.294
SHP-1686,347.17,41.7,40.4,1,0.17,0.65,0.418
SHP-1687,1582.04,51.9,32.0,1,0.84,0.57,0.719
SHP-1688,1479.3,63.5,23.1,1,0.77,0.74,0.62
SHP-1689,262.22,47.2,4.1,0,0.28,0.9,0.132
SHP-1690,1788.03,15.8,36.7,0,0.73,0.94,0.573
SHP-1691,1706.7,46.2,40.6,1,0.77,0.6,0.752
SHP-1692,121.48,20.2,44.7,1,0.65,0.57,0.513
SHP-1693,815.37,64.4,29.5,1,0.13,0.75,0.416
SHP-1694,226.58,27.5,0.5,0,0.24,0.97,0.09
SHP-1695,1964.61,49.9,37.9,0,0.45,0.59,0.618
SHP-1696,1899.99,48.2,48.4,1,0.94,0.52,0.863
SHP-1697,1534.87,18.2,13.2,0,0.23,0.83,0.363
SHP-1698,1059.88,57.4,19.4,0,0.92,0.93,0.435
SHP-1699,127.81,47.4,5.2,0,0.97,0.81,0.272
SHP-1700,583.32,53.9,28.9,0,0.38,0.69,0.341
SHP-1701,1195.97,64.9,3.9,0,0.25,0.98,0.249
SHP-1702,484.65,30.4,40.9,1,0.49,0.74,0.486
SHP-1703,1228.21,37.1,6.9,0,0.17,0.54,0.338
SHP-1704,1304.78,16.8,9.3,0,0.36,0.85,0.335
SHP-1705,280.74,18.1,40.6,0,0.48,0.73,0.355
SHP-1706,460.87,13.3,41.7,0,0.24,0.56,0.372
SHP-1707,1205.08,11.4,25.6,0,0.06,0.63,0.369
SHP-1708,401.07,69.1,30.0,0,0.88,0.86,0.384
SHP-1709,1651.54,68.3,10.8,0,0.61,0.73,0.467
SHP-1710,989.25,17.4,20.5,0,0.79,0.9,0.408
SHP-1711,404.67,48.2,13.2,0,0.72,0.67,0.324
SHP-1712,934.27,43.3,11.5,0,0.39,0.55,0.354
SHP-1713,444.58,62.2,25.2,1,0.83,0.8,0.473
SHP-1714,395.97,65.1,30.0,0,0.09,0.82,0.233
SHP-1715,1808.87,39.8,0.1,0,0.94,0.83,0.494
SHP-1716,891.42,31.4,43.7,1,0.23,0.89,0.477
SHP-1717,1589.63,28.7,29.5,0,0.43,0.62,0.518
SHP-1718,1543.42,65.7,4.2,0,0.6,0.77,0.414
SHP-1719,552.72,2.4,37.2,0,0.58,0.56,0.436
SHP-1720,64.03,47.8,34.4,1,0.41,0.55,0.419
SHP-1721,880.84,43.0,13.1,0,0.54,0.78,0.337
SHP-1722,1243.17,71.4,19.9,0,0.2,0.77,0.352
SHP-1723,1137.25,14.5,28.0,1,0.25,0.65,0.503
SHP-1724,721.49,51.4,36.8,0,0.75,0.72,0.461
SHP-1725,1413.66,13.3,10.7,0,0.4,0.67,0.401
SHP-1726,1123.62,50.8,35.3,0,0.39,0.81,0.426
SHP-1727,1618.52,59.6,23.6,1,0.09,0.63,0.529
SHP-1728,773.13,44.6,36.2,1,0.61,0.76,0.531
SHP-1729,1437.63,43.8,47.3,0,0.64,0.72,0.589
SHP-1730,443.33,48.0,40.2,1,0.19,0.88,0.389
SHP-1731,1045.57,50.9,30.8,0,0.36,0.82,0.388
SHP-1732,1952.51,8.1,13.8,0,0.4,0.83,0.462
SHP-1733,840.63,16.0,0.8,0,0.7,0.95,0.279
SHP-1734,1121.71,52.8,28.0,1,0.35,0.9,0.47
SHP-1735,491.28,69.4,22.7,1,0.57,0.63,0.452
SHP-1736,843.91,9.5,3.6,0,0.29,0.96,0.207
SHP-1737,1615.74,69.0,43.8,1,0.69,0.97,0.662
SHP-1738,1148.18,55.9,37.9,1,0.68,0.94,0.572
SHP-1739,1730.95,35.7,12.9,0,0.38,0.89,0.409
SHP-1740,479.75,51.1,40.0,1,0.96,0.75,0.574
SHP-1741,68.96,60.3,12.4,0,0.09,0.83,0.112
SHP-1742,1651.1,7.3,46.6,1,0.31,0.61,0.674
SHP-1743,1168.74,14.8,37.3,0,0.5,0.6,0.505
SHP-1744,1484.09,63.1,10.3,0,0.2,0.62,0.38
SHP-1745,1256.26,12.9,5.3,0,0.92,0.83,0.428
SHP-1746,1343.68,45.0,38.2,0,0.85,0.68,0.588
SHP-1747,665.06,64.9,44.0,1,0.49,0.98,0.478
SHP-1748,1836.21,21.6,11.1,0,0.58,0.53,0.53
SHP-1749,1608.58,35.5,27.0,1,0.39,0.84,0.559
SHP-1750,390.86,70.4,34.9,1,0.32,0.5,0.462
SHP-1751,1364.5,28.6,5.0,0,0.36,0.92,0.313
SHP-1752,414.95,20.4,13.5,0,0.96,0.67,0.374
SHP-1753,408.63,31.7,21.0,1,0.37,0.7,0.379
SHP-1754,928.92,42.0,49.0,0,0.81,0.85,0.527
SHP-1755,1617.97,40.9,42.8,0,0.15,0.97,0.45
SHP-1756,341.62,58.4,8.8,0,0.5,0.99,0.188
SHP-1757,1706.31,38.2,36.0,1,0.3,0.78,0.604
SHP-1758,1157.28,29.9,34.5,0,0.22,0.62,0.432
SHP-1759,1685.99,8.7,37.2,1,0.36,0.77,0.62
SHP-1760,1867.1,20.0,1.0,0,0.12,0.93,0.322
SHP-1761,1928.08,15.9,28.8,0,0.98,0.64,0.672
SHP-1762,683.93,37.7,38.7,1,0.89,0.69,0.597
SHP-1763,608.72,46.2,7.2,0,0.17,0.9,0.174
SHP-1764,707.91,46.2,28.6,0,0.08,0.67,0.303
SHP-1765,661.29,47.7,35.5,1,0.27,0.72,0.451
SHP-1766,1732.47,27.4,29.3,1,0.41,0.59,0.641
SHP-1767,95.05,52.9,33.1,0,0.21,0.69,0.251
SHP-1768,236.33,67.6,23.7,0,0.03,0.69,0.198
SHP-1769,1541.74,7.8,13.1,0,0.16,0.82,0.352
SHP-1770,1776.67,23.7,12.4,0,0.28,0.81,0.41
SHP-1771,305.99,60.7,1.4,0,0.66,0.92,0.199
SHP-1772,684.14,35.3,48.7,1,0.55,0.57,0.593
SHP-1773,1899.55,39.8,29.5,1,0.63,0.81,0.667
SHP-1774,1149.77,38.6,32.0,1,0.91,0.74,0.634
SHP-1775,492.9,8.3,15.4,0,0.41,0.58,0.302
SHP-1776,70.58,38.6,37.9,0,0.34,0.73,0.284
SHP-1777,66.22,66.5,47.3,1,0.3,0.88,0.383
SHP-1778,1606.03,43.8,39.8,1,0.19,0.93,0.552
SHP-1779,902.36,19.5,35.7,1,0.83,0.61,0.622
SHP-1780,204.46,45.8,25.8,1,0.28,0.86,0.318
SHP-1781,1627.18,30.9,42.7,0,0.14,0.55,0.533
SHP-1782,937.92,33.7,35.0,1,0.19,0.51,0.517
SHP-1783,146.78,39.4,9.3,0,0.1,0.63,0.153
SHP-1784,1444.63,52.9,11.6,0,0.15,0.74,0.345
SHP-1785,716.73,23.8,40.0,1,0.46,0.89,0.482
SHP-1786,693.98,61.0,47.6,0,0.27,0.69,0.41
SHP-1787,1109.22,14.7,44.8,1,0.82,0.91,0.628
SHP-1788,287.83,55.8,12.4,0,0.77,0.72,0.303
SHP-1789,1488.36,4.3,23.0,0,0.52,0.98,0.423
SHP-1790,972.01,49.7,15.6,0,0.32,0.81,0.31
SHP-1791,132.26,67.6,26.0,1,0.48,0.65,0.39
SHP-1792,752.83,5.6,33.3,0,0.24,0.71,0.352
SHP-1793,79.38,57.6,29.2,1,0.79,0.5,0.487
SHP-1794,131.89,56.8,23.8,0,0.37,0.54,0.281
SHP-1795,357.51,8.4,30.9,0,0.06,0.82,0.225
SHP-1796,1417.59,57.4,6.3,0,0.23,0.98,0.288
SHP-1797,1587.7,55.0,40.3,1,0.73,0.51,0.743
SHP-1798,786.65,52.7,12.5,0,0.04,0.85,0.206
SHP-1799,1140.1,40.0,24.5,0,0.54,0.66,0.445
SHP-1800,963.37,62.7,29.9,0,0.07,0.58,0.362
SHP-1801,626.56,20.4,18.4,0,0.0,0.81,0.206
SHP-1802,789.13,15.0,0.9,0,0.86,0.88,0.318
SHP-1803,515.63,52.5,32.9,1,0.19,0.83,0.381
SHP-1804,1543.18,12.8,14.2,0,0.41,0.66,0.438
SHP-1805,237.7,48.1,2.2,0,0.94,0.59,0.314
SHP-1806,110.98,9.5,9.6,0,0.03,0.81,0.099
SHP-1807,807.77,36.3,31.2,1,0.05,0.61,0.434
SHP-1808,1449.8,2.9,46.1,1,0.93,0.91,0.706
SHP-1809,962.72,46.7,18.0,0,0.74,0.94,0.376
SHP-1810,1652.95,57.6,2.9,0,0.62,0.76,0.432
SHP-1811,1481.89,60.4,3.9,0,0.22,0.75,0.332
SHP-1812,247.39,18.2,19.3,0,0.19,0.82,0.188
SHP-1813,1161.55,68.3,27.9,1,0.75,0.88,0.56
SHP-1814,1174.3,49.2,35.1,1,0.88,0.58,0.677
SHP-1815,401.77,30.1,16.9,0,0.16,0.99,0.162
SHP-1816,913.87,26.7,15.8,0,0.99,0.66,0.466
SHP-1817,774.85,55.5,21.5,1,0.61,0.78,0.468
SHP-1818,467.16,55.6,46.3,1,0.36,0.72,0.483
SHP-1819,1921.66,2.0,1.7,0,0.28,0.51,0.449
SHP-1820,313.42,64.3,0.3,0,0.98,0.61,0.322
SHP-1821,664.06,56.0,47.2,1,0.92,0.75,0.622
SHP-1822,1162.8,42.0,4.7,0,0.46,0.58,0.369
SHP-1823,566.73,64.3,12.5,0,0.26,0.65,0.257
SHP-1824,1162.45,41.8,10.9,0,0.08,0.66,0.302
SHP-1825,990.94,36.2,45.0,0,0.6,0.65,0.519
SHP-1826,1475.04,42.3,3.9,0,0.06,0.88,0.273
SHP-1827,728.46,59.2,20.8,0,0.87,0.61,0.444
SHP-1828,1322.92,44.2,0.6,0,0.78,0.69,0.419
SHP-1829,644.33,4.9,27.0,0,0.33,0.84,0.303
